"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"lcross:MIR_Instrument_State:1          ","Class","MIR_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the MIR instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:1         ","Attribute","instrument_gain_state","n/a","lcross","The instrument_gain_state specifies the instrument gain state, either High or Low. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:2          Value:High","Value","High","","","High"
"lcross:MIR_Instrument_State:2           lcross:instrument_gain_state:2          Value:Low","Value","Low","","","Low"
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:1           ","Attribute","missing_packet_flag","n/a","lcross","The missing_packet_flag indicates whether the image is missing data. A missing packet appears as a horizontal bar 8 pixels high of zero data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:2            Value:No","Value","No","","","No packets were missed."
"lcross:MIR_Instrument_State:2           lcross:missing_packet_flag:2            Value:Yes","Value","Yes","","","Packets are missing."
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:1             ","Attribute","calibration_valid","n/a","lcross","The response of the mid-IR cameras exhibited a startup transient. The calibration is valid only after this transient had settled. This attribute indicates whether the image was taken before or after this point. Values are Yes or No. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:2              Value:No","Value","No","","","Calibration is not valid."
"lcross:MIR_Instrument_State:2           lcross:calibration_valid:2              Value:Yes","Value","Yes","","","Calibration is valid."
"lcross:NIR_Instrument_State:1          ","Class","NIR_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the NIR instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:1              ","Attribute","enhancement_mode","n/a","lcross","This attribute indicates whether onboard image stretching was enabled or disabled. Values are On or Off. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:2               Value:Off","Value","Off","","","Onboard image enhancement was disabled."
"lcross:NIR_Instrument_State:2           lcross:enhancement_mode:2               Value:On","Value","On","","","Onboard image enhancement was enabled."
"lcross:NIR_Instrument_State:2           lcross:operating_setting_value:1       ","Attribute","operating_setting_value","n/a","lcross","The operating setting value determines the integration time and gain. Values range from 0 to 15. ","geo","ASCII_Integer","0","1","0","15","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:NIR_Instrument_State:2           lcross:integration_time:1              ","Attribute","integration_time","n/a","lcross","The integration time in msec. ","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"lcross:NIR_Instrument_State:2           lcross:gain_value:1                    ","Attribute","gain_value","n/a","lcross","The focal plane sensitivity in electrons per count. Value is approximate and inferred from the operating setting value and factory definitions. ","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lcross:NSP_Instrument_State:1          ","Class","NSP_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the NSP instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:1               ","Attribute","saturation_flag","n/a","lcross","Indicates whether a spectra is saturated based on a mechanical test. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:2                Value:No","Value","No","","","No saturation."
"lcross:NSP_Instrument_State:2           lcross:saturation_flag:2                Value:Yes","Value","Yes","","","Saturation noted."
"lcross:NSP_Instrument_State:2           lcross:boresight_to_sun_angle:1        ","Attribute","boresight_to_sun_angle","n/a","lcross","Angle between the instrument boresight vector and the spacecraft to sun vector in degrees. ","geo","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
"lcross:VSP_Instrument_State:1          ","Class","VSP_Instrument_State","1.0.0.0","lcross","Class with attributes specific to the VSP instrument on LCROSS.","geo","","","","","","","","","","",""
"lcross:VSP_Instrument_State:2           lcross:saturation_flag:1               ","Attribute","saturation_flag","n/a","lcross","Indicates whether a spectra is saturated based on a mechanical test. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
